Year,SERIES,UNIT_MEASURE,SEX,Value
2018,SP_LGL_LNDDOC_SOLO,NUMBER,_T,301791
2019,SP_LGL_LNDDOC_SOLO,NUMBER,_T,322053
2020,SP_LGL_LNDDOC_SOLO,NUMBER,_T,335470
2021,SP_LGL_LNDDOC_SOLO,NUMBER,_T,486196
2018,SP_LGL_LNDDOC_SOLO,NUMBER,M,221528
2019,SP_LGL_LNDDOC_SOLO,NUMBER,M,235748
2020,SP_LGL_LNDDOC_SOLO,NUMBER,M,238185
2021,SP_LGL_LNDDOC_SOLO,NUMBER,M,349368
2018,SP_LGL_LNDDOC_SOLO,NUMBER,F,80263
2019,SP_LGL_LNDDOC_SOLO,NUMBER,F,86305
2020,SP_LGL_LNDDOC_SOLO,NUMBER,F,97285
2021,SP_LGL_LNDDOC_SOLO,NUMBER,F,136828
2018,SP_LGL_LNDDOC_COHFR,NUMBER,_T,112670
2019,SP_LGL_LNDDOC_COHFR,NUMBER,_T,113906
2020,SP_LGL_LNDDOC_COHFR,NUMBER,_T,113369
2021,SP_LGL_LNDDOC_COHFR,NUMBER,_T,168688
2018,SP_LGL_LNDDOC_COHFR,NUMBER,M,75233
2019,SP_LGL_LNDDOC_COHFR,NUMBER,M,75664
2020,SP_LGL_LNDDOC_COHFR,NUMBER,M,72449
2021,SP_LGL_LNDDOC_COHFR,NUMBER,M,107719
2018,SP_LGL_LNDDOC_COHFR,NUMBER,F,37437
2019,SP_LGL_LNDDOC_COHFR,NUMBER,F,38242
2020,SP_LGL_LNDDOC_COHFR,NUMBER,F,40920
2021,SP_LGL_LNDDOC_COHFR,NUMBER,F,60969
2018,SP_LGL_LNDDOC_COUHFR,NUMBER,_T,293012
2019,SP_LGL_LNDDOC_COUHFR,NUMBER,_T,330384
2020,SP_LGL_LNDDOC_COUHFR,NUMBER,_T,343529
2021,SP_LGL_LNDDOC_COUHFR,NUMBER,_T,295914
2018,SP_LGL_LNDDOC_COUHFR,NUMBER,M,175091
2019,SP_LGL_LNDDOC_COUHFR,NUMBER,M,195662
2020,SP_LGL_LNDDOC_COUHFR,NUMBER,M,201559
2021,SP_LGL_LNDDOC_COUHFR,NUMBER,M,164842
2018,SP_LGL_LNDDOC_COUHFR,NUMBER,F,117921
2019,SP_LGL_LNDDOC_COUHFR,NUMBER,F,134722
2020,SP_LGL_LNDDOC_COUHFR,NUMBER,F,141970
2021,SP_LGL_LNDDOC_COUHFR,NUMBER,F,131072
