Year,SERIES,UNIT_MEASURE,SEX,AGE,COMPOSITE_BREAKDOWN,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Value
2020.0,VC_HTF_DETV,NUMBER,M,_A,,,,,,0.0
2021.0,VC_HTF_DETV,NUMBER,M,_A,,,,,,0.0
2009.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,0.0
2010.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,0.0
2011.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,1.0
2012.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,2.0
2013.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,0.0
2014.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,0.0
2015.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,1.0
2016.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,0.0
2017.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,0.0
2018.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,0.0
2019.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,0.0
2020.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,0.0
2021.0,VC_HTF_DETV,NUMBER,F,_A,,,,,,0.0
2009.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,0.0
2010.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,0.0
2011.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,0.0
2012.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,0.0
2013.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,0.0
2014.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,0.0
2015.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,0.0
2016.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,0.0
2017.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,1.0
2018.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,0.0
2019.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,1.0
2020.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,1.0
2021.0,VC_HTF_DETV,NUMBER,F,_M,,,,,,0.0
2009.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,0.0
2010.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,0.0
2011.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,1.0
2012.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,2.0
2013.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,0.0
2014.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,0.0
2015.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,1.0
2016.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,0.0
2017.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,1.0
2018.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,0.0
2019.0,VC_HTF_DETV,NUMBER,_T,_T,VC_HTFET_01,,,,,1.0
